strategy,nthreads,npoints,runtime
3,4,100000000,2.66
3,4,100000000,2.67
3,4,1000000000,28.13
3,4,1000000000,27.82
3,4,1000000000,28.30
3,4,1000000000,27.46
3,6,10000000,0.20
3,6,10000000,0.20
3,6,10000000,0.21
3,6,10000000,0.20
3,6,100000000,2.05
3,6,100000000,2.18
3,6,100000000,2.26
3,6,100000000,2.18
3,6,1000000000,21.66
3,6,1000000000,21.35
3,6,1000000000,22.11
3,6,1000000000,21.43
3,8,10000000,0.19
3,8,10000000,0.18
3,8,10000000,0.20
3,8,10000000,0.19
3,8,100000000,1.92
3,8,100000000,1.90
3,8,100000000,2.03
3,8,100000000,2.16
3,8,1000000000,20.55
3,8,1000000000,21.30
3,8,1000000000,20.55
3,8,1000000000,19.02
3,16,10000000,0.19
3,16,10000000,0.20
3,16,10000000,0.19
3,16,10000000,0.19
3,16,100000000,1.90
3,16,100000000,1.97
3,16,100000000,1.87
3,16,100000000,1.87
3,16,1000000000,19.44
3,16,1000000000,19.13
3,16,1000000000,19.13
3,16,1000000000,18.68
3,32,10000000,0.19
3,32,10000000,0.20
3,32,10000000,0.19
3,32,10000000,0.19
3,32,100000000,1.91
3,32,100000000,1.87
3,32,100000000,1.89
3,32,100000000,1.90
3,32,1000000000,19.63
3,32,1000000000,19.55
3,32,1000000000,20.17
3,32,1000000000,19.09
3,64,10000000,0.20
3,64,10000000,0.19
3,64,10000000,0.20
3,64,10000000,0.19
3,64,100000000,1.90
3,64,100000000,1.92
3,64,100000000,1.90
3,64,100000000,1.94
3,64,1000000000,19.07
3,64,1000000000,19.01
3,64,1000000000,19.22
3,64,1000000000,20.25
